,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Maximum Temperature,Wind Speed
75,Djibouti,1,DJ,1579412419,65,11.5,42.5,298.15,5.71
76,Bengkulu,99,ID,1579412419,71,-3.8,102.27,303.04,3.01
77,Ponta do Sol,20,PT,1579412419,72,32.67,-17.1,290.15,5.1
78,Mudbidri,20,IN,1579412419,62,13.08,74.98,302.15,2.6
79,Palmer,90,US,1579412419,85,42.16,-72.33,269.15,2.6
80,Dukat,0,RU,1579412419,93,62.55,155.55,240.51,1.28
81,Longyearbyen,75,SJ,1579412419,79,78.22,15.64,269.15,7.2
82,Tuktoyaktuk,5,CA,1579412419,69,69.45,-133.04,250.15,7.7
83,Mandan,1,US,1579412419,69,46.83,-100.89,250.93,8.7
84,Atuona,50,PF,1579412419,76,-9.8,-139.03,300.63,7.77
85,Spolaita,40,GR,1579412419,75,38.7,21.35,281.15,3.6
86,Avarua,100,CK,1579412419,88,-21.21,-159.78,300.15,5.7
87,Saint-Philippe,100,RE,1579412419,70,-21.36,55.77,303.15,6.2
88,Emerald,24,AU,1579412419,21,-23.53,148.17,311.15,3.6
89,Taltal,20,CL,1579412419,91,-25.4,-70.48,289.53,1.63
90,Yukamenskoye,100,RU,1579412420,94,57.89,52.24,272.14,5.77
91,Kapit,61,MY,1579412420,52,2.02,112.93,305.71,1.38
92,La Macarena,9,CO,1579412420,98,2.18,-73.78,294.9,0.97
93,Kruisfontein,100,ZA,1579412420,78,-34.0,24.73,289.3,6.53
94,Boa Vista,32,BR,1579412420,69,2.82,-60.67,300.15,4.6
95,Fairbanks,0,US,1579412420,73,64.84,-147.72,241.15,1.51
96,Batemans Bay,26,AU,1579412420,68,-35.72,150.18,299.26,2.24
97,Jilikul,75,TJ,1579412420,80,37.49,68.53,275.15,3.0
98,Praia da Vitoria,75,PT,1579412420,100,38.73,-27.07,290.15,9.38
99,Mossamedes,100,AO,1579412420,84,-15.2,12.15,297.2,4.86
100,Mogadishu,29,SO,1579412420,76,2.04,45.34,299.8,9.3
101,Upernavik,0,GL,1579412420,69,72.79,-56.15,247.97,4.5
102,Kolondieba,0,ML,1579412420,19,11.09,-6.89,290.04,2.15
103,Saskylakh,97,RU,1579412420,98,71.92,114.08,247.98,2.24
104,Nabire,34,ID,1579412420,85,-3.37,135.48,301.27,1.52
105,Krasnosel'kup,41,RU,1579412420,97,65.7,82.47,246.52,3.92
106,Labuhan,45,ID,1579412420,61,-6.88,112.21,304.76,0.8
107,Nikolskoye,75,RU,1579412420,86,59.7,30.79,276.48,6.0
108,Port Keats,1,AU,1579412420,56,-14.25,129.55,306.57,5.57
109,Hermanus,100,ZA,1579412420,58,-34.42,19.23,292.04,8.94
110,Nouadhibou,77,MR,1579412420,51,20.93,-17.03,290.15,4.6
111,Clyde River,90,CA,1579412420,74,70.47,-68.59,242.15,8.7
112,Yaan,4,NG,1579412420,35,7.38,8.57,294.73,3.0
113,Kawalu,88,ID,1579412420,67,-7.38,108.21,301.62,2.18
114,Fort Walton Beach,20,US,1579412420,100,30.41,-86.62,292.15,3.2
115,Sarh,0,TD,1579412420,55,9.14,18.39,291.15,2.09
116,Castro,89,BR,1579412420,89,-24.79,-50.01,288.6,2.52
117,Kieta,0,PG,1579412420,68,-6.22,155.63,302.6,1.87
118,Ugoofaaru,90,MV,1579412421,77,5.67,73.0,301.14,5.62
119,Saint-Pierre,100,RE,1579412421,70,-21.34,55.48,303.15,6.2
120,Shingu,75,JP,1579412421,34,33.73,135.98,284.15,1.0
121,Nantucket,90,US,1579412421,100,41.28,-70.1,280.37,7.7
122,Pevek,100,RU,1579412421,96,69.7,170.31,250.04,1.64
123,Coquimbo,90,CL,1579412421,88,-29.95,-71.34,290.15,2.1
124,Port Augusta,21,AU,1579412421,47,-32.5,137.77,297.15,9.3
125,Sendafa,12,ET,1579412421,40,9.15,39.03,288.66,0.87
126,Katete,100,UG,1579412421,74,-0.78,29.75,291.78,0.2
127,Manta,75,EC,1579412421,83,-0.95,-80.73,299.15,3.1
128,Bartica,20,GY,1579412421,94,6.4,-58.62,296.15,2.1
129,Nome,40,US,1579412421,65,64.5,-165.41,260.15,6.7
130,Vao,0,NC,1579412421,77,-22.67,167.48,297.81,7.66
131,Taos,1,US,1579412208,85,36.41,-105.57,267.15,2.6
132,Butaritari,81,KI,1579412421,76,3.07,172.79,302.62,5.99
133,Kowary,100,PL,1579412421,93,50.79,15.84,275.93,2.41
134,Bealanana,100,MG,1579412421,89,-14.55,48.73,294.13,1.16
135,San Patricio,59,MX,1579412421,80,19.22,-104.7,299.3,2.02
136,College,0,US,1579412421,73,64.86,-147.8,254.15,1.05
137,Lunglei,0,IN,1579412421,24,22.88,92.73,302.4,0.9
138,Portland,90,US,1579412281,93,45.52,-122.68,282.04,1.5
139,Tura,47,IN,1579412421,36,25.52,90.22,299.57,3.31
140,Dingle,22,PH,1579412421,83,11.0,122.67,300.1,5.36
141,Wau,37,SS,1579412421,28,7.7,28.0,293.9,4.34
142,Aku,22,NG,1579412421,37,6.71,7.32,292.63,2.3
143,Qaanaaq,56,GL,1579412421,62,77.48,-69.36,245.57,1.38
144,Dunedin,100,NZ,1579412422,89,-45.87,170.5,287.45,1.98
145,Saint-Francois,100,FR,1579412422,100,46.42,3.91,274.26,1.0
146,Praxedis Guerrero,1,MX,1579412422,36,31.37,-106.02,283.15,3.94
147,Prundeni,90,RO,1579412422,77,44.73,24.27,274.26,2.1
148,Mitsamiouli,90,KM,1579412422,88,-11.38,43.28,301.15,5.1
149,Bocas del Toro,32,PA,1579412422,80,9.33,-82.25,300.25,4.85
150,Tasiilaq,100,GL,1579412422,100,65.61,-37.64,272.15,21.1
151,Pacific Grove,1,US,1579412309,81,36.62,-121.92,283.15,5.81
152,Chaplynka,44,UA,1579412422,81,46.37,33.54,271.81,4.56
153,New Norfolk,75,AU,1579412422,49,-42.78,147.06,294.26,6.7
154,Progreso,5,MX,1579412422,73,21.28,-89.67,295.93,2.6
155,Latung,37,PH,1579412422,70,5.5,120.88,301.55,2.68
156,Wlodawa,90,PL,1579412422,87,51.55,23.55,273.15,2.0
157,Rawson,0,AR,1579412422,70,-43.3,-65.1,290.34,8.94
158,Bethel,90,US,1579412422,93,41.37,-73.41,277.04,2.1
159,La Libertad,99,EC,1579412422,81,-2.23,-80.9,297.38,3.76
160,Mar del Plata,29,AR,1579412422,72,-38.0,-57.56,294.82,5.1
161,Nouakchott,51,MR,1579412367,23,18.09,-15.98,289.15,4.1
162,Tevriz,94,RU,1579412422,92,57.51,72.4,257.6,3.99
163,Severo-Kuril'sk,90,RU,1579412422,89,50.68,156.12,262.97,3.13
164,Comodoro Rivadavia,1,AR,1579412422,30,-45.87,-67.5,295.15,5.7
165,Rincon,75,US,1579412422,72,32.3,-81.24,292.15,5.1
166,Svobodnyy,97,RU,1579412422,87,51.4,128.13,254.6,1.37
167,Dargaville,0,NZ,1579412422,62,-35.93,173.88,294.09,3.34
168,Norman Wells,5,CA,1579412422,69,65.28,-126.83,249.15,3.6
169,Calama,20,CL,1579412422,29,-22.47,-68.93,290.15,4.1
170,Esna,0,EG,1579412422,57,25.29,32.55,282.97,3.64
171,Sioux Lookout,75,CA,1579412422,92,50.1,-91.92,264.15,2.1
172,Ucluelet,100,CA,1579412419,93,48.93,-125.55,283.15,2.24
173,Grand Gaube,75,MU,1579412423,79,-20.01,57.66,302.15,3.6
174,Vanimo,2,PG,1579412423,80,-2.67,141.3,301.33,9.79
175,Lerwick,36,GB,1579412423,75,60.15,-1.15,281.15,8.2
176,Ossora,0,RU,1579412423,74,59.24,163.07,256.11,1.54
177,Avanuorri,1,NO,1579412423,73,71.0,24.66,269.15,13.9
178,Maracacume,69,BR,1579412423,98,-2.04,-45.96,296.03,0.79
179,Vestmanna,94,FO,1579412423,81,62.16,-7.17,280.15,6.2
180,Cape Town,20,ZA,1579411796,59,-33.93,18.42,292.59,9.8
181,Ilebo,100,CD,1579412423,87,-4.32,20.58,294.29,0.39
182,Kang,0,BW,1579412423,60,-23.68,22.79,296.24,2.15
183,Rio Grande,73,BR,1579412132,91,-32.03,-52.1,292.59,6.32
184,Smithers,90,CA,1579412423,84,54.78,-127.17,260.15,3.6
185,Topolobampo,13,MX,1579412423,88,25.6,-109.05,290.37,1.34
186,Souillac,75,MU,1579412423,79,-20.52,57.52,302.15,3.6
187,Sur,27,OM,1579412423,41,22.57,59.53,294.11,2.69
188,Yangi Marg`ilon,50,UZ,1579412423,35,40.43,71.72,273.15,1.0
189,Katsuura,20,JP,1579412423,49,35.13,140.3,285.37,4.1
190,San Luis,73,AR,1579412423,50,-33.3,-66.34,299.3,4.44
191,Brownsville,90,US,1579412423,83,25.9,-97.5,294.26,5.7
192,Cayenne,75,GF,1579412423,78,4.93,-52.33,300.15,4.1
193,Sept-Iles,40,CA,1579412423,75,50.2,-66.38,245.15,1.0
194,Provideniya,17,RU,1579412423,97,64.38,-173.3,251.59,2.96
195,Vyazemskiy,100,RU,1579412423,86,47.54,134.75,260.97,1.26
196,Esim,0,GH,1579412423,91,4.87,-2.24,297.53,0.33
197,Kaabong,0,UG,1579412423,26,3.48,34.15,297.57,0.93
198,Faanui,100,PF,1579412423,79,-16.48,-151.75,300.85,6.47
199,Djibo,0,BF,1579412423,26,14.1,-1.63,288.66,4.64
200,Sokolo,0,ML,1579412423,26,14.73,-6.12,289.06,4.24
201,Torbay,75,CA,1579412424,77,47.67,-52.73,260.93,5.7
202,Caribou,90,US,1579412424,77,46.86,-68.01,255.37,2.6
203,Nuuk,100,GL,1579412424,56,64.18,-51.72,263.15,3.6
204,Baykit,100,RU,1579412424,89,61.67,96.37,257.07,3.13
205,Itarema,90,BR,1579412424,83,-2.92,-39.92,298.81,2.17
206,San Cristobal,40,VE,1579412168,83,7.77,-72.22,298.15,2.1
207,Kiryat Gat,75,IL,1579412424,81,31.61,34.76,285.15,6.7
208,Tabou,2,CI,1579412425,94,4.42,-7.35,297.32,0.6
209,Srednekolymsk,90,RU,1579412425,99,67.45,153.68,242.69,0.93
210,Aripuana,60,BR,1579412425,86,-9.17,-60.63,297.42,0.54
211,Paducah,1,US,1579412364,50,37.08,-88.6,274.26,5.1
212,Poum,0,NC,1579412425,80,-20.23,164.02,299.2,7.73
213,High Level,5,CA,1579412425,74,58.52,-117.14,241.15,3.29
214,Anadyr,75,RU,1579412425,77,64.75,177.48,258.15,7.0
215,Canberra,34,AU,1579412253,27,-35.28,149.13,304.15,6.2
216,Mount Gambier,98,AU,1579412425,57,-37.83,140.77,297.15,8.2
217,Hildburghausen,75,DE,1579412425,96,50.43,10.73,274.82,3.6
218,Nemuro,20,JP,1579412425,58,43.32,145.57,271.15,2.1
219,Tahe,70,CN,1579412425,83,52.33,124.73,256.89,0.2
220,Bathsheba,40,BB,1579412425,65,13.22,-59.52,299.15,9.3
221,Mahebourg,75,MU,1579412425,79,-20.41,57.7,302.15,3.6
222,Salta,75,AR,1579412425,94,-24.79,-65.41,295.15,0.64
223,Felanitx,75,ES,1579412425,100,39.47,3.15,284.82,2.6
224,Lorengau,73,PG,1579412425,76,-2.02,147.27,302.07,10.39
225,Namtsy,40,RU,1579412425,73,62.72,129.67,239.15,3.0
226,Chokurdakh,98,RU,1579412425,98,70.63,147.92,245.14,0.27
227,Ahipara,0,NZ,1579412425,68,-35.17,173.17,298.71,1.34
228,Baiyin,100,CN,1579412425,49,36.56,104.21,270.15,2.0
229,Fortuna,75,US,1579412426,76,40.6,-124.16,284.82,2.1
230,Mayumba,44,GA,1579412426,70,-3.43,10.66,301.2,1.95
231,Kangalassy,40,RU,1579412426,73,62.35,129.96,239.15,3.0
232,Chernyshevskiy,93,RU,1579412426,93,63.01,112.47,256.67,3.91
233,Husavik,90,IS,1579412426,71,66.04,-17.34,276.15,17.0
234,Uinskoye,88,RU,1579412133,95,56.88,56.58,265.49,2.53
235,Nadym,31,RU,1579412426,79,65.53,72.52,249.64,7.29
236,Severodvinsk,90,RU,1579412426,92,64.56,39.83,267.15,5.0
237,Coyhaique,0,CL,1579412426,58,-45.58,-72.07,286.15,2.6
238,Cabo San Lucas,5,MX,1579412303,72,22.89,-109.91,291.48,4.6
239,Narsaq,100,GL,1579412426,80,60.92,-46.05,272.15,4.1
240,'Ahuimanu,40,US,1579412427,60,21.44,-157.84,296.15,3.1
241,Mehran,40,IR,1579412171,93,33.12,46.16,277.15,1.0
242,Susurluk,75,TR,1579412427,86,39.91,28.16,280.93,4.6
243,Pizarro,58,CO,1579412427,82,4.95,-77.37,300.57,1.22
244,Touros,98,BR,1579412427,88,-5.2,-35.46,298.15,3.1
245,Trairi,90,BR,1579412241,94,-3.28,-39.27,296.53,1.01
246,Mackay,2,AU,1579412427,62,-21.15,149.2,305.37,6.7
247,Saint-Leu,100,RE,1579412427,70,-21.15,55.28,303.15,6.2
248,Khandyga,100,RU,1579412427,98,62.67,135.6,245.08,0.71
249,Kamaishi,75,JP,1579412427,48,39.27,141.88,278.15,2.17
250,Doka,1,SD,1579412427,77,13.52,35.77,292.77,4.8
251,Penzance,0,GB,1579412258,63,50.12,-5.54,279.82,5.1
252,Suez,34,EG,1579412427,70,29.97,32.53,283.63,3.7
253,Kulhudhuffushi,67,MV,1579412427,76,6.62,73.07,301.39,6.05
254,Anupgarh,0,IN,1579412427,39,29.19,73.21,288.5,1.73
255,Pierre,1,US,1579412427,65,44.37,-100.35,257.15,7.7
256,Adrar,0,MR,1579412427,33,20.5,-10.07,285.11,5.23
257,Alexandria,50,EG,1579411865,83,31.22,29.96,285.28,5.84
258,Constitucion,75,CL,1579412427,71,-35.33,-72.42,287.63,0.31
259,Ibia,75,BR,1579412218,100,-19.48,-46.54,293.15,1.0
260,Kanel,0,SN,1579412428,19,15.49,-13.18,292.3,5.77
261,Vityazevo,20,RU,1579412428,84,44.99,37.27,273.15,8.0
262,Talnakh,40,RU,1579412428,75,69.49,88.4,244.15,8.0
263,Tommot,60,RU,1579412428,90,58.96,126.29,255.69,0.19
264,Buala,0,SB,1579412428,71,-8.14,159.59,302.24,4.06
265,Medeiros Neto,88,BR,1579412428,97,-17.37,-40.22,294.71,2.53
266,Quatre Cocos,75,MU,1579412428,79,-20.21,57.76,302.15,3.6
267,Tilichiki,22,RU,1579412428,91,60.47,166.1,249.79,1.63
268,Nsunga,100,TZ,1579412428,80,-1.14,31.39,295.22,0.81
269,Ndjole,46,GA,1579412428,96,-0.18,10.76,295.58,0.64
270,Khazar,100,RU,1579412428,77,42.0,48.33,276.67,5.21
271,Marsh Harbour,100,BS,1579412428,70,26.54,-77.06,295.12,6.43
272,San Fernando del Valle de Catamarca,100,AR,1579412428,72,-28.47,-65.79,299.82,1.34
273,Kudahuvadhoo,22,MV,1579412428,78,2.67,72.89,301.63,6.58
274,Guerrero Negro,0,MX,1579412428,40,27.98,-114.06,289.13,2.09
275,Niquelandia,39,BR,1579412428,87,-14.47,-48.46,294.62,0.84
276,Kupang,75,ID,1579412428,79,-10.17,123.58,303.15,5.1
277,Tianpeng,1,CN,1579412428,34,30.99,103.94,285.93,2.0
278,Hamilton,90,US,1579411951,69,39.18,-84.53,274.15,8.2
279,Malibu,1,US,1579412413,37,34.01,-118.81,290.15,3.6
280,Goderich,100,CA,1579412428,92,43.75,-81.72,273.71,8.05
281,Salcininkai,90,LT,1579412428,97,54.3,25.38,273.71,3.1
282,Ca Mau,92,VN,1579412428,46,9.18,105.15,305.6,6.73
283,Jacareacanga,39,BR,1579412428,93,-6.22,-57.75,296.44,0.1
284,Takoradze,0,GH,1579412428,91,4.88,-1.76,297.53,0.33
285,Bac Lieu,89,VN,1579412428,47,9.29,105.72,305.34,7.67
286,Udachny,79,RU,1579412428,83,66.42,112.4,252.15,3.0
287,Klerksdorp,0,ZA,1579412428,61,-26.85,26.67,294.49,3.83
288,Praia,53,CV,1579412428,77,14.92,-23.51,294.15,8.2
289,San Juan,100,AR,1579412316,42,-31.54,-68.54,301.47,1.23
290,Pathein,0,MM,1579412429,35,16.78,94.73,302.88,3.16
291,Kamenka,100,RU,1579412429,92,51.32,42.77,273.15,1.34
292,Staicele,100,LV,1579412429,87,57.84,24.75,276.48,3.58
293,Arraial do Cabo,57,BR,1579412429,79,-22.97,-42.03,297.13,4.29
294,Shahreza,16,IR,1579412429,68,32.03,51.88,277.11,0.33
295,Envira,100,BR,1579412429,98,-7.3,-70.22,295.56,0.84
296,Shizunai,54,JP,1579412429,61,42.33,142.37,271.76,1.25
297,Porto-Novo,40,BJ,1579412429,94,6.5,2.6,299.15,2.6
298,Ilam,0,NP,1579412429,61,26.92,87.92,284.62,3.24
299,Panchagarh,15,BD,1579412429,42,26.33,88.56,296.27,2.7
300,Itoman,90,JP,1579412429,55,26.12,127.67,291.15,3.1
301,Hambantota,40,LK,1579412429,83,6.12,81.12,302.15,4.6
302,Roald,100,NO,1579412429,60,62.58,6.13,278.15,7.7
303,Bardstown,90,US,1579412429,74,37.81,-85.47,275.15,6.2
304,Pitimbu,30,BR,1579412429,78,-7.47,-34.81,299.15,3.1
305,Aborlan,20,PH,1579412429,66,9.44,118.55,305.15,5.1
306,Broome,90,US,1579412429,88,42.25,-75.83,273.71,2.6
307,Eureka,75,US,1579412429,76,40.8,-124.16,284.82,2.1
308,Ambilobe,94,MG,1579412429,76,-13.2,49.05,300.95,0.82
309,Luderitz,0,NA,1579412429,77,-26.65,15.16,291.15,4.6
310,Ancud,0,CL,1579412429,76,-41.87,-73.82,283.15,8.7
311,Sal Rei,100,CV,1579412429,82,16.18,-22.92,293.15,5.1
312,Arlit,2,NE,1579412429,29,18.74,7.39,287.86,7.23
313,Kahului,75,US,1579412429,83,20.89,-156.47,294.15,6.7
314,Salalah,20,OM,1579412429,50,17.02,54.09,297.15,1.0
315,Puerto Escondido,5,MX,1579412429,74,15.85,-97.07,299.15,1.46
316,Bulolo,54,PG,1579412429,39,-7.2,146.65,303.82,2.33
317,Broken Hill,40,AU,1579412430,16,-31.95,141.43,303.15,7.2
318,Okhotsk,0,RU,1579412430,74,59.38,143.3,244.8,3.05
319,Meulaboh,37,ID,1579412430,70,4.14,96.13,301.72,1.12
320,Bandarbeyla,26,SO,1579412430,73,9.49,50.81,297.87,8.42
321,Luyang,0,CN,1579412430,55,27.62,110.1,283.04,1.63
322,Ferme-Neuve,100,CA,1579412430,93,46.7,-75.45,260.16,4.0
323,Tarnogskiy Gorodok,100,RU,1579412430,94,60.5,43.58,271.28,2.95
324,Samarai,26,PG,1579412430,59,-10.62,150.67,304.75,1.84
325,Tual,17,ID,1579412430,79,-5.67,132.75,301.79,6.47
326,Traunstein,75,DE,1579412430,97,47.88,12.65,274.26,1.5
327,Kampong Cham,7,KH,1579412430,38,11.99,105.46,305.39,3.09
328,Tromso,8,NO,1579412430,84,69.65,18.96,268.15,8.7
329,Kalmunai,75,LK,1579412430,78,7.42,81.82,300.89,6.03
330,Nikolsk,99,RU,1579412430,90,53.72,46.07,270.84,5.22
331,Beringovskiy,99,RU,1579412430,99,63.05,179.32,259.24,8.55
332,Aloleng,0,PH,1579412430,39,16.13,119.78,305.15,2.82
333,Deputatsky,0,RU,1579412430,80,69.3,139.9,239.57,0.73
334,Luanda,75,AO,1579412018,83,-8.84,13.23,299.15,2.1
335,Maloy,97,NO,1579412430,56,61.94,5.11,278.15,7.7
336,Srandakan,39,ID,1579412430,58,-7.94,110.25,303.91,4.17
337,Matagami,90,CA,1579412430,84,49.75,-77.63,255.15,2.6
338,Sistranda,75,NO,1579412430,86,63.73,8.83,278.15,15.9
339,Egvekinot,59,RU,1579412430,95,66.32,-179.17,248.77,5.08
340,Homer,1,US,1579412430,71,59.64,-151.55,266.15,3.6
341,Inhambane,75,MZ,1579412430,88,-23.86,35.38,300.15,2.85
342,Aitape,6,PG,1579412430,81,-3.14,142.35,301.47,9.92
343,Constantine,40,DZ,1579412430,70,36.37,6.61,275.15,1.0
344,Grindavik,90,IS,1579412430,100,63.84,-22.43,280.15,14.4
345,Mehamn,0,NO,1579412430,61,71.04,27.85,263.53,5.81
346,Baruun-Urt,50,MN,1579412430,84,46.68,113.28,258.92,5.4
347,Mala Bilozerka,60,UA,1579412431,81,47.25,34.93,271.58,3.96
348,Port Lincoln,11,AU,1579412431,63,-34.73,135.87,292.53,9.25
349,Baker City,1,US,1579412431,85,44.77,-117.83,274.15,3.1
350,Pilar,20,BR,1579412431,94,-9.6,-35.96,297.15,1.0
351,La Crosse,40,US,1579412407,64,43.8,-91.24,257.15,6.7
352,Stettler,69,CA,1579412431,76,52.32,-112.72,251.48,1.79
353,Vila Velha,75,BR,1579412372,83,-20.33,-40.29,297.59,3.6
354,Yar-Sale,87,RU,1579412431,87,66.83,70.83,252.76,7.87
355,Belmonte,75,BR,1579412431,94,-15.86,-38.88,297.15,1.5
356,Lavrentiya,100,RU,1579412431,97,65.58,-171.0,254.16,3.43
357,Syracuse,20,IT,1579412431,100,37.09,15.28,280.93,3.1
358,Haines Junction,100,CA,1579412431,96,60.75,-137.51,243.18,2.5
359,Seguela,0,CI,1579412431,34,7.96,-6.67,291.6,0.79
360,Esperance,40,AU,1579412431,52,-33.87,121.9,294.15,8.2
361,Vvedenskoye,0,RU,1579412431,82,55.48,65.08,259.47,1.7
362,Oistins,40,BB,1579412431,65,13.07,-59.53,299.15,9.3
363,Bambamarca,96,PE,1579412431,94,-6.68,-78.53,282.63,1.81
364,Laas,5,IT,1579412431,79,46.62,10.7,266.15,2.6
365,Jimma,17,ET,1579412431,52,7.67,36.83,293.34,0.34
366,Satka,100,RU,1579412431,95,55.04,59.04,266.48,1.86
367,Port Moresby,40,PG,1579412337,66,-9.44,147.18,305.15,7.7
368,San Andres,20,CO,1579412431,69,12.58,-81.7,301.15,7.7
369,Novoagansk,91,RU,1579412431,94,61.94,76.66,252.89,6.87
370,Ukmerge,90,LT,1579412431,86,55.25,24.75,276.15,2.1
371,Antigonish,90,CA,1579412431,85,45.62,-62.0,263.71,1.5
372,Hong Kong,40,HK,1579412229,67,22.29,114.16,292.59,7.2
373,Oskarshamn,97,SE,1579412431,86,57.26,16.45,277.59,4.1
374,Vardo,48,NO,1579412431,59,70.37,31.11,270.34,8.89
